workflow_name,ai_node_count,has_openai,has_langchain,node_count,complexity
"AI-Powered Information Monitoring with OpenAI, Google Sheets, Jina AI and Slack",4,True,True,31,Complex
chrome extension backend with AI,1,True,True,5,Simple
,10,True,True,16,Complex
Auto categorize wordpress template,2,True,True,9,Simple
Auto-Tag Blog Posts in WordPress with AI,5,True,True,32,Complex
,6,True,True,27,Complex
Automate Content Generator for WordPress with DeepSeek R1,3,True,True,17,Complex
,5,True,True,38,Complex
,17,False,True,42,Complex
,10,False,True,29,Complex
,12,True,True,38,Complex
Building RAG Chatbot for Movie Recommendations with Qdrant and Open AI,9,True,True,27,Complex
Chat with GitHub OpenAPI Specification using RAG (Pinecone and OpenAI),12,True,True,17,Complex
,10,True,True,22,Complex
,1,False,False,17,Complex
Google Analytics: Weekly Report,4,True,True,14,Complex
,3,False,True,10,Complex
,6,True,True,37,Complex
,3,True,True,19,Complex
,3,False,True,13,Complex
,8,True,True,24,Complex
piepdrive-test,1,True,True,8,Complex
,8,True,True,29,Complex
,5,True,True,43,Complex
,12,True,True,29,Complex
Image to license plate number,2,False,True,5,Simple
Extract text from PDF and image using Vertex AI (Gemini) into CSV,2,False,True,16,Complex
,2,False,True,15,Complex
HN Who is Hiring Scrape,4,True,True,20,Complex
Hacker News to Video Template - AlexK1919,11,True,True,48,Complex
Intelligent Web Query and Semantic Re-Ranking Flow,10,True,True,20,Complex
,7,True,True,26,Complex
,4,True,True,20,Complex
,3,False,True,10,Complex
Make OpenAI Citation for File Retrieval RAG,3,True,True,19,Complex
Open Deep Research - AI-Powered Autonomous Research Workflow,8,False,True,17,Complex
,5,True,True,17,Complex
News Extraction,2,True,False,36,Complex
,4,True,True,15,Complex
"Scrape Trustpilot Reviews with DeepSeek, Analyze Sentiment with OpenAI",4,True,True,20,Complex
,5,True,True,19,Complex
My workflow 6,2,True,True,11,Complex
,1,True,True,38,Complex
RAG & GenAI App With WordPress Content,14,True,True,53,Complex
Write a WordPress post with AI (starting from a few keywords),4,True,True,37,Complex
,5,True,True,18,Complex
AI Email processing autoresponder with approval (Yes/No),9,True,True,17,Complex
"AI-Powered Information Monitoring with OpenAI, Google Sheets, Jina AI and Slack",4,True,True,31,Complex
Blog Automation TEMPLATE,2,True,True,35,Complex
,2,False,True,36,Complex
Auto-Tag Blog Posts in WordPress with AI,5,True,True,32,Complex
,6,True,True,27,Complex
Automate Content Generator for WordPress with DeepSeek R1,3,True,True,17,Complex
Automate LinkedIn Posts with AI,1,True,True,11,Complex
,10,True,True,61,Complex
,2,True,True,8,Complex
BambooHR AI-Powered Company Policies and Benefits Chatbot,22,True,True,50,Complex
,9,True,True,13,Complex
Build an OpenAI Assistant with Google Drive Integration,6,True,True,12,Complex
,11,True,True,28,Complex
,11,True,True,28,Complex
,2,True,True,4,Simple
,5,False,True,40,Complex
"Create, update, and get a profile in Humantic AI",3,False,False,5,Simple
,3,True,True,19,Complex
Discord AI bot,1,True,False,9,Complex
Effortless Email Management with AI,15,True,True,31,Complex
,13,True,True,32,Complex
Email Summary Agent,3,True,True,9,Simple
Extract spend details (template),8,False,True,24,Complex
Generate Instagram Content from Top Trends with AI Image Generation,2,True,True,44,Complex
Gmail AI auto-responder: create draft replies to incoming emails,7,True,True,12,Complex
,7,True,True,23,Complex
HR & IT Helpdesk Chatbot with Audio Transcription,12,True,True,27,Complex
HR Job Posting and Evaluation with AI,20,True,True,36,Complex
Microsoft Outlook AI Email Assistant,8,True,True,28,Complex
,1,False,False,5,Simple
Post New YouTube Videos to X,1,True,True,6,Simple
,3,True,False,15,Complex
,9,False,True,35,Complex
,3,True,True,8,Complex
YouTube Videos with AI Summaries on Discord,1,True,True,8,Complex
My workflow 6,2,True,True,11,Complex
,4,True,True,19,Complex
Google Doc Summarizer to Google Sheets,3,True,True,12,Complex
Telegram RAG pdf,9,True,True,20,Complex
Play with Spotify from Telegram,1,True,True,14,Complex
OpenAI Assistant for Hubspot Chat,7,True,True,34,Complex
Write a WordPress post with AI (starting from a few keywords),4,True,True,37,Complex
