workflow_name,node_count,has_ai,has_openai,has_langchain,has_google,has_slack,complexity,category
"AI-Powered Information Monitoring with OpenAI, Google Sheets, Jina AI and Slack",31,True,True,True,True,True,57.0,AI/ML
chrome extension backend with AI,5,True,True,True,False,False,13.0,AI/ML
,16,True,True,True,True,False,40.0,General Automation
Auto categorize wordpress template,9,True,True,True,False,False,19.0,Content Management
Auto-Tag Blog Posts in WordPress with AI,32,True,True,True,False,False,66.0,AI/ML
,27,True,True,True,False,False,55.0,Content Management
Automate Content Generator for WordPress with DeepSeek R1,17,True,True,True,True,False,31.0,Content Management
[3/3] Anomaly detection tool (crops dataset),17,False,False,False,False,False,27.0,Data Processing
,38,True,True,True,False,False,70.0,General Automation
,42,True,False,True,False,False,86.0,General Automation
,29,True,False,True,False,False,61.0,General Automation
,38,True,True,True,False,False,80.0,General Automation
,17,False,False,False,False,False,33.0,General Automation
Building RAG Chatbot for Movie Recommendations with Qdrant and Open AI,27,True,True,True,False,False,65.0,AI/ML
Chat with GitHub OpenAPI Specification using RAG (Pinecone and OpenAI),17,True,True,True,False,False,41.0,AI/ML
,22,True,True,True,True,False,48.0,General Automation
,17,True,False,False,False,False,35.0,General Automation
Google Analytics: Weekly Report,14,True,True,True,True,False,34.0,Communication
,10,True,False,True,True,True,22.0,Communication
,37,True,True,True,True,False,71.0,General Automation
,19,True,True,True,False,True,41.0,Communication
,13,True,False,True,True,False,31.0,General Automation
,24,True,True,True,False,False,46.0,General Automation
,23,False,False,False,False,False,37.0,General Automation
piepdrive-test,8,True,True,True,False,True,24.0,Communication
,29,True,True,True,False,False,55.0,General Automation
ETL pipeline,9,False,False,False,True,True,27.0,Communication
,11,False,False,False,True,False,23.0,General Automation
,43,True,True,True,False,False,73.0,Communication
,29,True,True,True,False,False,51.0,General Automation
Image to license plate number,5,True,False,True,False,False,15.0,General Automation
Extract text from PDF and image using Vertex AI (Gemini) into CSV,16,True,False,True,True,False,34.0,AI/ML
,15,True,False,True,False,False,31.0,General Automation
HN Who is Hiring Scrape,20,True,True,True,False,False,44.0,General Automation
Hacker News to Video Template - AlexK1919,48,True,True,True,True,False,90.0,General Automation
Intelligent Web Query and Semantic Re-Ranking Flow,20,True,True,True,True,False,44.0,General Automation
,26,True,True,True,True,False,56.0,General Automation
,20,True,True,True,False,True,40.0,Communication
,10,True,False,True,True,False,30.0,Communication
Make OpenAI Citation for File Retrieval RAG,19,True,True,True,False,False,39.0,AI/ML
Open Deep Research - AI-Powered Autonomous Research Workflow,17,True,False,True,False,False,37.0,AI/ML
,6,False,False,False,False,False,14.0,General Automation
,17,True,True,True,False,False,39.0,General Automation
News Extraction,36,True,True,False,False,False,56.0,Data Processing
,15,True,True,True,False,False,39.0,General Automation
"Scrape Trustpilot Reviews with DeepSeek, Analyze Sentiment with OpenAI",20,True,True,True,True,False,44.0,AI/ML
,19,True,True,True,False,True,45.0,Communication
My workflow 6,11,True,True,True,False,True,23.0,Communication
,38,True,True,True,False,True,64.0,Communication
RAG & GenAI App With WordPress Content,53,True,True,True,False,False,99.0,AI/ML
Write a WordPress post with AI (starting from a few keywords),37,True,True,True,False,False,61.0,AI/ML
,18,True,True,True,True,False,40.0,General Automation
AI Email processing autoresponder with approval (Yes/No),17,True,True,True,False,False,41.0,AI/ML
"AI-Powered Information Monitoring with OpenAI, Google Sheets, Jina AI and Slack",31,True,True,True,True,True,57.0,AI/ML
Blog Automation TEMPLATE,35,True,True,True,True,False,55.0,General Automation
,36,True,False,True,False,False,60.0,General Automation
Auto-Tag Blog Posts in WordPress with AI,32,True,True,True,False,False,66.0,AI/ML
,27,True,True,True,False,False,55.0,Content Management
Automate Content Generator for WordPress with DeepSeek R1,17,True,True,True,True,False,31.0,Content Management
Automate LinkedIn Posts with AI,11,True,True,True,False,False,27.0,AI/ML
,61,True,True,True,True,False,97.0,General Automation
,8,True,True,True,False,False,20.0,Communication
BambooHR AI-Powered Company Policies and Benefits Chatbot,50,True,True,True,False,False,96.0,AI/ML
,13,True,True,True,False,False,27.0,General Automation
Build an OpenAI Assistant with Google Drive Integration,12,True,True,True,True,False,24.0,AI/ML
,28,True,True,True,False,False,58.0,General Automation
,28,True,True,True,False,False,58.0,General Automation
,4,True,True,True,False,False,12.0,Communication
,40,True,False,True,True,False,72.0,General Automation
,12,False,False,False,False,False,24.0,General Automation
"Create, update, and get a profile in Humantic AI",5,True,False,False,False,False,11.0,AI/ML
,19,True,True,True,False,True,41.0,Communication
,11,False,False,False,False,False,21.0,General Automation
Discord AI bot,9,True,True,False,False,False,23.0,AI/ML
Effortless Email Management with AI,31,True,True,True,True,False,67.0,AI/ML
,32,True,True,True,False,False,66.0,General Automation
Email Summary Agent,9,True,True,True,False,False,19.0,AI/ML
Extract spend details (template),24,True,False,True,True,False,50.0,AI/ML
Generate Instagram Content from Top Trends with AI Image Generation,44,True,True,True,False,False,68.0,AI/ML
Gmail AI auto-responder: create draft replies to incoming emails,12,True,True,True,False,False,26.0,AI/ML
,23,True,True,True,False,False,43.0,General Automation
HR & IT Helpdesk Chatbot with Audio Transcription,27,True,True,True,False,False,61.0,Communication
HR Job Posting and Evaluation with AI,36,True,True,True,True,False,66.0,AI/ML
Microsoft Outlook AI Email Assistant,28,True,True,True,False,False,56.0,AI/ML
,5,True,False,False,False,False,15.0,General Automation
Post New YouTube Videos to X,6,True,True,True,False,False,16.0,General Automation
,15,True,True,False,False,False,29.0,General Automation
,35,True,False,True,True,False,61.0,General Automation
,8,True,True,True,False,False,24.0,Communication
YouTube Videos with AI Summaries on Discord,8,True,True,True,False,False,22.0,AI/ML
My workflow 6,11,True,True,True,False,True,23.0,Communication
,19,True,True,True,True,False,41.0,Communication
Google Doc Summarizer to Google Sheets,12,True,True,True,True,False,26.0,General Automation
Telegram RAG pdf,20,True,True,True,False,False,48.0,Communication
Play with Spotify from Telegram,14,True,True,True,False,False,30.0,Communication
OpenAI Assistant for Hubspot Chat,34,True,True,True,False,False,52.0,AI/ML
Write a WordPress post with AI (starting from a few keywords),37,True,True,True,False,False,61.0,AI/ML
